Price_Date,Crop,Modal_Price,lower_Modal_Price,upper_Modal_Price
2010-04-06,Barley,1723.354778520409,1381.6187765108605,2048.7849553813176
2010-04-13,Barley,1728.0457439204874,1503.916649297539,1931.3086896585164
2010-04-20,Barley,1931.9588625757387,1561.8834319274267,2061.3724926409463
2010-04-28,Barley,1847.457573734142,1510.8927178830274,2212.748302213106
2010-05-05,Barley,1716.245142541408,1403.2516915559759,2018.020614560996
2010-05-13,Barley,1832.1097887368942,1644.1015134078668,1957.9746359521428
2010-05-20,Barley,1726.257552499176,1574.1858830996318,2051.0119683030043
2010-05-27,Barley,1730.666384880837,1535.9756146661346,2043.024762947537
2010-06-04,Barley,1813.0716597377016,1712.1304947026802,2044.8288293298842
2010-06-11,Barley,1580.9281995884332,1353.639080225509,1800.1892110818194
2010-06-19,Barley,1606.2556397188746,1353.8435092640123,1782.7034732079899
2010-06-26,Barley,1738.6093672005534,1617.410680852307,1839.8212002934667
2010-07-03,Barley,1693.716661167632,1411.7795284943275,1863.561867168978
2010-07-11,Barley,1844.1089644016683,1741.7302694757602,2158.3967988708096
2010-07-18,Barley,1714.3986120787965,1374.6445318438525,1801.3097127542676
2010-07-26,Barley,1663.5536453223463,1572.8597349114448,1829.9503920052816
2010-08-02,Barley,1984.2818711444847,1600.2717115421458,2202.0078027541776
2010-08-09,Barley,1802.9717406646892,1683.3832701645856,2038.4566905461043
2010-08-17,Barley,1839.6945885391829,1617.377002044175,2185.5173279289315
2010-08-24,Barley,1680.220858239425,1594.4367108821061,1851.5225657366007
2010-09-01,Barley,1781.396028676392,1444.8359590435537,1963.1749885093866
2010-09-08,Barley,1857.8201813117585,1640.60039510942,2156.2328957494815
2010-09-15,Barley,1723.5813984476795,1629.4658917373306,1926.675633014361
2010-09-23,Barley,1895.6884330654837,1665.2953263356133,2054.3399694474647
2010-09-30,Barley,1792.7700376570256,1603.4710831542757,2004.0765407960873
2010-10-08,Barley,1831.0309460514845,1655.9153638720252,1961.2695278466617
2010-10-15,Barley,1801.2591308622777,1563.8192411795442,1938.9798879068342
2010-10-23,Barley,2075.124728541295,1855.4389764197867,2334.0072583363217
2010-10-30,Barley,1874.3635450469153,1663.773452805207,2085.8645108958185
2010-11-06,Barley,1763.8301576103754,1649.4875774397262,2094.066583971417
2010-11-14,Barley,1974.5612137232076,1593.1094699675195,2180.6246150022116
2010-11-21,Barley,1754.1817681655264,1477.2744902386698,1994.6594814038594
2010-11-29,Barley,1915.3398741134667,1805.3260511308517,2192.7570180636753
2010-12-06,Barley,1681.136043182152,1569.4070148015335,1768.4948797817394
2010-12-13,Barley,1754.5193388970054,1523.5342588168362,2016.873678534488
2010-12-21,Barley,1926.034459204574,1719.9870802599307,2073.7716932401445
2010-12-28,Barley,1989.4616009773515,1674.3451626380768,2375.736554892908
2011-01-05,Barley,1931.0377534510235,1599.320562008255,2070.6506420969154
2011-01-12,Barley,1903.341985426258,1655.0600847456246,2116.884810126603
2011-01-19,Barley,1886.759979168878,1609.4116096935595,2005.253128822242
2011-01-27,Barley,1761.1498000426263,1563.105716736074,2112.5540234406776
2011-02-03,Barley,1848.2041540425118,1500.1137450767603,2079.8381973796813
2011-02-11,Barley,1880.3362881971996,1779.097517940603,2142.281710634429
2011-02-18,Barley,2050.692481760931,1943.9162292791707,2173.860090031496
2011-02-25,Barley,1975.8597116472554,1787.6082097597355,2296.925199048082
2011-03-05,Barley,1747.9167716447423,1538.8911918083977,1890.347236222051
2011-03-12,Barley,1980.6763395241837,1676.5021755204946,2346.523388905907
2011-03-20,Barley,1906.167231464808,1757.6181951260428,2060.1301621222397
2011-03-27,Barley,1877.4553212366563,1694.7970845185096,2025.0292386766628
2011-04-04,Barley,2022.325979966995,1667.1904531565797,2134.5295803925997
2011-04-11,Barley,2071.6385609634626,1940.3776310148683,2321.9133020385502
2011-04-18,Barley,2063.8708196593357,1905.738247790294,2341.928230544906
2011-04-26,Barley,1872.4855369825525,1764.7614196860036,1984.5655853793387
2011-05-03,Barley,1933.790079042259,1757.5404410571327,2255.4357246725867
2011-05-11,Barley,2007.1739312375048,1790.4237935360932,2244.00705766347
2011-05-18,Barley,2080.9175184260885,1795.2834039174008,2348.645329037783
2011-05-25,Barley,1923.9934288251648,1808.3792639878093,2147.396794583435
2011-06-02,Barley,1959.0807504896911,1821.767964583925,2174.8038677244026
2011-06-09,Barley,1860.709343186056,1501.1882948418001,2109.9440093386997
2011-06-17,Barley,1853.553695051013,1490.1738464918149,1989.3932995233886
2011-06-24,Barley,2076.9010301870344,1778.8023973241327,2237.4230899432305
2011-07-01,Barley,2139.230304458204,1971.478280854768,2522.7255071438817
2011-07-09,Barley,1984.8448185942086,1881.8143413442438,2365.77091544509
2011-07-16,Barley,2105.476855083631,1731.8863764917219,2328.64981661993
2011-07-24,Barley,2037.3564656690085,1811.4535806914905,2221.9648005086283
