Price_Date,Crop,Modal_Price,lower_Modal_Price,upper_Modal_Price
2010-04-06,Rice,320.55104319372765,273.73733722477414,359.4971237248159
2010-04-13,Rice,294.34920734839625,263.5382924863532,328.6291124182126
2010-04-20,Rice,308.23828599612546,287.70810236634384,363.0879119282545
2010-04-28,Rice,303.96707912780715,244.2870458203911,354.20763901075117
2010-05-05,Rice,315.50108034152123,278.258998538354,350.4019325331056
2010-05-13,Rice,318.19338649433183,272.29605233478514,348.13798847603937
2010-05-20,Rice,288.78022208948005,232.63918366030117,326.5366813610663
2010-05-27,Rice,317.9624461762293,285.81673171696144,371.43010262518595
2010-06-04,Rice,312.9387912778293,254.03595174108733,346.61058363332984
2010-06-11,Rice,302.6415790995887,257.1044661715669,348.02325961892836
2010-06-19,Rice,313.8192933206262,275.98696888624573,364.20398801841986
2010-06-26,Rice,322.96156661690935,295.88784479666685,340.0466922760542
2010-07-03,Rice,321.3482438740342,268.9416196042564,351.94190589556166
2010-07-11,Rice,323.5001704469513,293.1716266649236,385.1266191395815
2010-07-18,Rice,315.1094693693882,274.6564861251123,368.7426315521273
2010-07-26,Rice,327.6816203075704,282.19059719748225,366.7236788099855
2010-08-02,Rice,308.3291653293619,263.88896327372925,357.52818064618066
2010-08-09,Rice,326.1391571692196,295.583444145039,363.0992130135973
2010-08-17,Rice,318.7792551694234,265.40974153302835,351.6635397319337
2010-08-24,Rice,315.2359929945967,264.1968754231092,353.9742006741424
2010-09-01,Rice,313.1065013198402,273.36846458963004,332.63899803644506
2010-09-08,Rice,338.78332825108976,285.7475100672402,359.04676742597866
2010-09-15,Rice,328.75745587910535,294.35833760974447,348.0934249275506
2010-09-23,Rice,330.70161754752974,264.6092272072967,390.7483355166174
2010-09-30,Rice,331.06542213503116,308.4960799186166,350.3668799803397
2010-10-08,Rice,326.0449302786673,308.6687135830465,362.15041114831683
2010-10-15,Rice,325.2836171957686,303.5640423618074,372.2324719577482
2010-10-23,Rice,328.9635990181142,286.5370667621087,376.468086337054
2010-10-30,Rice,330.9398041158622,314.18111913079844,380.1466459311123
2010-11-06,Rice,316.27410267317305,281.7160764717953,372.6885598865603
2010-11-14,Rice,311.98806820668665,265.1631973636405,350.6303650796907
2010-11-21,Rice,329.42569449891465,301.9431638558265,374.27967178388775
2010-11-29,Rice,323.21381952677046,296.88569525061286,377.33892684317885
2010-12-06,Rice,331.15096867232523,297.3425940779967,383.0529106313659
2010-12-13,Rice,346.00179440821074,294.29392225254315,408.05786251131343
2010-12-21,Rice,342.59140458934417,323.0528097721484,381.79341023156513
2010-12-28,Rice,333.54032990291387,269.4079817995324,365.6388868616365
2011-01-05,Rice,335.20634998946366,273.0574510986045,397.5614624255251
2011-01-12,Rice,350.5541174784736,324.18832608223676,368.8486448405168
2011-01-19,Rice,336.7409063965287,318.12777777685363,391.4414643236784
2011-01-27,Rice,341.9703317981817,321.6840671589685,380.63632477378366
2011-02-03,Rice,319.86823885946825,291.3409044449492,346.98546859747535
2011-02-11,Rice,330.8528043913994,276.2509932849428,377.6765576018448
2011-02-18,Rice,340.12228594408316,320.4375341620525,401.87490286439964
2011-02-25,Rice,338.06828502827375,291.9697626894621,397.9214148559448
2011-03-05,Rice,350.64287596092134,318.9121222927707,398.4696312522498
2011-03-12,Rice,336.6543310073909,279.60536515954095,359.6611265734018
2011-03-20,Rice,327.1008171775199,307.100387688886,373.33424356629115
2011-03-27,Rice,344.1345028369924,298.65147906084997,381.6635038390089
2011-04-04,Rice,342.70110179244176,304.72473948670574,366.27643968860747
2011-04-11,Rice,345.9927916510743,306.27268735969596,410.54494413580386
2011-04-18,Rice,342.25312467944514,313.47429898379045,385.6363422526107
2011-04-26,Rice,325.1256480733141,298.144536314036,383.4951895501254
2011-05-03,Rice,347.2769879649566,295.4258762913741,409.7834076438951
2011-05-11,Rice,355.1419876016265,308.08181970394514,379.6918893069145
2011-05-18,Rice,354.667807512736,286.8880877431112,393.01887135934396
2011-05-25,Rice,328.7954505808151,267.87677970442536,373.2359324538948
2011-06-02,Rice,348.80497300101644,286.83638376713196,381.42039335647394
2011-06-09,Rice,342.6956896388011,302.4699613374507,403.32361011982164
2011-06-17,Rice,349.5435040759301,291.6190804022348,372.7075384543098
2011-06-24,Rice,336.1678490815958,286.9154246537843,379.8902720982936
2011-07-01,Rice,345.5544873733851,282.46606405541786,374.69864908423045
2011-07-09,Rice,333.33400181715325,299.6575895900117,368.28958339590156
2011-07-16,Rice,333.36827803843386,277.6641133304207,380.37443932701694
2011-07-24,Rice,359.6034615089485,296.1243587766498,390.8965418194367
2011-07-31,Rice,355.3401793712698,328.115797887056,393.0128205170995
2011-08-07,Rice,370.88686652692223,347.5011461918753,417.35537633970347
2011-08-15,Rice,343.7652790817114,279.091243764612,366.8166352164088
2011-08-22,Rice,343.6295062473355,324.04678539703747,402.92986008874317
2011-08-30,Rice,345.29723282022616,294.7844134272208,389.5319856126329
2011-09-06,Rice,357.8022688905926,337.61164661371845,407.06716760879726
2011-09-14,Rice,350.6555407361184,313.86727029374225,411.86612198463774
2011-09-21,Rice,358.90044308861644,294.7119707810428,422.35682748020196
2011-09-28,Rice,358.9563285947282,291.3769120988326,402.4604717772787
2011-10-06,Rice,345.49292870608497,307.05845428779605,386.3622303203381
2011-10-13,Rice,344.8131321352583,301.9219985888928,404.955771081939
2011-10-21,Rice,351.1273358019886,285.68384199677274,411.18771492605055
2011-10-28,Rice,351.0374632472959,288.1635479338801,417.30474108774274
2011-11-04,Rice,334.1754408996174,282.928521788396,400.5894289717634
2011-11-12,Rice,364.31295977523064,339.8214678883507,430.6369932757177
2011-11-19,Rice,367.0551568679262,347.5665893663127,407.9829987492305
2011-11-27,Rice,337.5962408119101,306.6754707280832,375.2014527525837
2011-12-04,Rice,348.649195397845,294.3309367032076,389.19251098877527
2011-12-11,Rice,344.13688743907886,312.0596209157838,367.4841399300308
2011-12-19,Rice,352.3741082586772,285.82670253447026,376.48463207288154
2011-12-26,Rice,349.480740310679,325.6535976537781,398.65919276151317
2012-01-03,Rice,354.3128694678897,297.62370305125154,412.81444634402493
